version,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
ERV-ARB,0,0,0,0,0,1
ERV-AWA,3,2,2,0,1,6
ERV-BEN,9,5,1,0,22,4
ERV-BUL,5,3,1,4,10,2
ERV-CMN,4,2,5,3,23,4
ERV-ENG,2,2,1,0,0,0
ERV-HIN,14,2,1,5,11,3
ERV-HRV,1,3,0,1,0,0
ERV-HUN,2,1,1,1,1,0
ERV-IND,5,0,2,0,0,0
ERV-KAN,3,9,2,3,5,2
ERV-MAR,4,1,0,0,1,2
ERV-NEP,4,13,2,3,1,6
ERV-ORI,8,15,2,2,0,4
ERV-PAN,5,1,6,1,2,7
ERV-POR,2,1,1,2,1,0
ERV-RUS,1,2,0,1,3,1
ERV-SPA,8,2,1,2,3,1
ERV-SRP,1,0,0,0,0,0
ERV-TAM,42,11,5,6,5,2
ERV-THA,1,0,0,1,0,1
ERV-UKR,3,2,3,0,0,1
ERV-URD,6,0,1,1,0,2
ERV-VIE,6,1,0,0,0,1
