version,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
ERV-ARB,0,0,0,1,0,5,0,0,0,0,0,0
ERV-AWA,0,1,0,6,1,3,7,0,3,0,1,1
ERV-BEN,2,0,1,5,1,5,10,2,7,0,0,0
ERV-BUL,2,3,1,5,1,6,10,0,2,1,0,0
ERV-CMN,1,6,6,10,7,3,5,3,8,1,3,28
ERV-ENG,2,0,2,1,0,10,1,0,1,0,0,1
ERV-HIN,0,3,1,6,1,4,4,0,2,1,1,1
ERV-HRV,0,2,0,4,1,1,5,1,1,0,0,0
ERV-HUN,2,0,1,2,0,1,4,0,1,0,2,0
ERV-IND,0,1,1,1,0,0,4,0,2,1,0,0
ERV-KAN,0,4,1,3,2,3,5,0,2,1,0,0
ERV-MAR,3,0,0,1,0,1,6,0,1,0,0,0
ERV-NEP,0,3,1,1,1,1,3,2,1,0,1,3
ERV-ORI,0,2,0,1,1,0,2,0,1,0,1,1
ERV-PAN,2,0,0,2,0,0,2,0,1,1,0,1
ERV-POR,0,0,2,1,0,1,3,0,1,0,0,1
ERV-RUS,1,1,2,2,0,1,3,0,3,1,0,2
ERV-SPA,1,2,1,4,1,0,2,2,2,2,6,4
ERV-SRP,0,0,0,1,0,0,1,0,3,0,1,1
ERV-TAM,13,6,3,9,6,3,11,1,3,0,3,3
ERV-THA,0,0,0,1,0,0,2,0,2,0,0,1
ERV-UKR,0,0,1,0,0,0,3,0,2,0,0,1
ERV-URD,1,0,1,1,1,0,5,0,1,0,1,1
ERV-VIE,1,0,1,0,0,1,1,0,1,0,0,1
