code,ISO-639,Country,Name,iPhone,iPhone other,Android 4.0.3,SIL Name,,,,,,
afr,af,,Afrikaans,,x,,,,,,,,
aka,ak,,Akan,,x,,,,,,,,
sqi,sq,,Albanian,,x,,,,,,,,
ara,ar,,Arabic,x,,x,,"Metalanguage, Android also shows (XB)",,,,,
hye,hy,,Armenian,,x,,,,,,,,
asm,as,,Assamese,,x,,,,,,,,
aym,ay,,Aymara,,x,,,,,,,,
azb,az,,Azerbaijani (Cyrillic),,x,,Azerbaijani South,,,,,,
azj,az,AM,Azerbaijani (Latin),,x,,Azerbaijani North,,,,,,
bam,bm,,Bambara,,x,,,,,,,,
eus,eu,,Basque,,x,,,,,,,,
bel,be,,Belarusian,,x,,,,,,,,
bem,,,Bemba,,x,,,,,,,,
ben,bn,,Bengali,,x,,,,,,,,
bis,bi,,Bislama,,x,,,,,,,,
bos,bs,,Bosnian,,x,,,,,,,,
srp,bs,TR,Bosnian (Cyrillic),,x,,,Bosnian in Turkey,,,,,
bre,br,,Breton,,x,,,,,,,,
bul,bg,,Bulgarian,,x,x,,,,,,,
cat,ca,,Catalan,x,,x,,,,,,,
chr,,,Cherokee,,x,,,,,,,,
cmn,zh-Hans,,Chinese (Simplified),x,,x,,I am not sure if cmn is simplified or trad,,,,,
cmn,zh-Hant,,Chinese (Traditional),x,,x,Chinese Mandarin,I am not sure if cmn is simplified or trad,,,,,
cmn,zh,HK,Chinese (Traditional) (Hong Kong),x,,x,,I am not sure if cmn is simplified or trad,,,,,
cor,kw,,Cornish,,x,,,,,,,,
cos,co,,Corsican,,x,,,,,,,,
hrv,hr,,Croatian,x,,x,,,,,,,
ces,cs,,Czech,x,,x,,,,,,,
dan,da,,Danish,x,,x,,,,,,,
nld,nl,,Dutch,x,,x,,,,,,,
dzo,dz,,Dzongkha,,x,,,,,,,,
eng,en,AU,English (Australia),x,,x,,,,,,,
eng,en,CA,English (Canada),,x,x,,,,,,,
eng,en,IN,English (India),x,,x,,,,,,,
eng,en,GB,English (UK),x,,x,,,,,,,
eng,en,,English (US),,x,x,,,,,,,
epo,eo,,Esperanto,,x,,,,,,,,
est,et,,Estonian,,x,,,,,,,,
ewe,ee,,Ewe,,x,,,,,,,,
