
-- DELETE FROM Video WHERE mediaSource = 'KOG';

-- Arabic
'arb', 'KOG_OT', 'KOG', 'مَلِكُ المـَجْد &#1777;', 6435000, 'https://player.vimeo.com/external/149968723.m3u8?s=3b2a4311fbee81192618de58a3a979f5898d7297'
'arb', 'KOG_NT', 'KOG', 'مَلِكُ المـَجْد &#1778;', 6898000, 'https://player.vimeo.com/external/152110389.m3u8?s=fcf65847758713ddec1cb2af31d8d2fb6c19a758'
-- Borana
'gax', 'KOG_OT', 'KOG', 'HAYYU GUDDINNA •&nbsp;1', 6435000, 'https://player.vimeo.com/external/173955670.m3u8?s=5803c31f936769ec149cb040416b42149a19a945'
'gax', 'KOG_NT', 'KOG', 'HAYYU GUDDINNA •&nbsp;2', 6898000, 'https://player.vimeo.com/external/173955669.m3u8?s=ae3b327e3122df48aa048a9dff4a50c03adbf57d'
-- Mandarin Chinese
'cmn', 'KOG_OT', 'KOG', '荣耀君王 • 旧约', 6435000, 'https://player.vimeo.com/external/152852034.m3u8?s=4a2b6bd91b3f2c9d4d47e8d28331aa0414a629d6'
'cmn', 'KOG_NT', 'KOG', '荣耀君王 • 新约', 6898000, 'https://player.vimeo.com/external/152855232.m3u8?s=8233275d3d4fd2ee0d9b81b55f028db929df120e'
-- English
'eng', 'KOG_OT', 'KOG', 'KING of GLORY • Part\u00A01', 6435000, 'https://player.vimeo.com/external/157336122.m3u8?s=861d8aca0bddff67874ef38116d3bf5027474858' 
'eng', 'KOG_NT', 'KOG', 'KING of GLORY • Part\xA02', 6898000, 'https://player.vimeo.com/external/157373759.m3u8?s=7cd19ce27a17c2a9fd005a7801f826b96bf42494'
-- French
'fra', 'KOG_OT', 'KOG', 'Le ROI de GLOIRE • Partie&nbsp;1', 6435000, 'https://player.vimeo.com/external/200435481.m3u8?s=1d612754866e8731ba7ac49a1a528b9f14b9511b'
'fra', 'KOG_NT', 'KOG', 'Le ROI de GLOIRE • Partie&nbsp;2', 6898000, 'https://player.vimeo.com/external/200466331.m3u8?s=404d624581bc1a9c519168bee205cd70bff507b1'
-- Korean
'kor', 'KOG_OT', 'KOG', '영광의 왕 •&nbsp;1', 6435000, 'https://player.vimeo.com/external/178631989.m3u8?s=f265a59a7bfb4b1039ea217d2bb8d625405d5d49'
'kor', 'KOG_NT', 'KOG', '영광의 왕 •&nbsp;2', 6898000, 'https://player.vimeo.com/external/178631988.m3u8?s=23929514d5e351045ae7063e497656af625a171f'
-- Kyrgyz
'kir', 'KOG_OT', 'KOG', 'Даңк Падышасы • 1-чи', 6435000, 'https://player.vimeo.com/external/183908992.m3u8?s=5cf95047b8f7941ff0d384abdceaa2217be14240'
'kir', 'KOG_NT', 'KOG', 'Даңк Падышасы • 2-чи', 6898000, 'https://player.vimeo.com/external/183908993.m3u8?s=1d9fee23d30d258089d7fd8b129c686c26a7ec49'
-- Lebanese Arabic
'apc', 'KOG_OT', 'KOG', 'مَلِكُ المـَجْد &#1777;', 6435000, 'https://player.vimeo.com/external/206292268.m3u8?s=0b9e2e0811c4ddd57d69de30d7505eda27885f11'
'apc', 'KOG_NT', 'KOG', 'مَلِكُ المـَجْد &#1778;', 6898000, 'https://player.vimeo.com/external/206304236.m3u8?s=63cdbcd17d8fd354fa28e6681ca41beb38702ce9'
-- Somali
'som', 'KOG_OT', 'KOG', 'BOQORKA AMMAANTA •&nbsp;1', 6435000, 'https://player.vimeo.com/external/173984346.m3u8?s=b63ff54af12439d33d8988c5ff973c16bd96025b'
'som', 'KOG_NT', 'KOG', 'BOQORKA AMMAANTA •&nbsp;2', 6898000, 'https://player.vimeo.com/external/174241318.m3u8?s=1a8cf4ea39c901cb91035c1c5c3b173e79bacddb'
-- Spanish
'spa', 'KOG_OT', 'KOG', 'REY de GLORIA • Parte&nbsp;1', 6435000, 'https://player.vimeo.com/external/149206715.m3u8?s=4aa591ebb7c50dd3d0c4b4f9ae84c0fb49d16d6a'
'spa', 'KOG_NT', 'KOG', 'REY de GLORIA • Parte&nbsp;2', 6898000, 'https://player.vimeo.com/external/149404650.m3u8?s=0280d359506f7bd2965eb2d921bceeeb53dfbd06'
-- Swahili
'swh', 'KOG_OT', 'KOG', 'MFALME wa UTUKUFU •&nbsp;1', 6435000, 'https://player.vimeo.com/external/173967926.m3u8?s=42301b8336fd594ad5877ee06f9202e075db4b64'
'swh', 'KOG_NT', 'KOG', 'MFALME wa UTUKUFU •&nbsp;2', 6898000, 'https://player.vimeo.com/external/173967925.m3u8?s=b94e814cf8cfe98141e5cf3b29d4cfff7a60568b'
-- Swedish
'swe', 'KOG_OT', 'KOG', 'HARLIGHETENS KONUNG •&nbsp;1', 6435000, 'https://player.vimeo.com/external/226936671.m3u8?s=7ae2f7ae91e147cc4a50178be17cd42d02f95b63'
'swe', 'KOG_NT', 'KOG', 'HARLIGHETENS KONUNG •&nbsp;2', 6898000, 'https://player.vimeo.com/external/226946845.m3u8?s=a3f885a198f7084bd052369e988a0030f18b1c00'
-- Turkish
'tur', 'KOG_OT', 'KOG', 'YÜCELİK KRALI • Bölüm&nbsp;1', 6435000, 'https://player.vimeo.com/external/163785324.m3u8?s=e0b22d95ef5519c342714f17261288d3cff5518f'
'tur', 'KOG_NT', 'KOG', 'YÜCELİK KRALI • Bölüm&nbsp2', 6898000, 'https://player.vimeo.com/external/167142525.m3u8?s=4683fe683ba599d80bf5f96336bb14c867e42486'
-- Urdu
'urd', 'KOG_OT', 'KOG', 'جلال کا بادشاہ &#1777;', 6435000, 'https://player.vimeo.com/external/185552298.m3u8?s=bd164f63140ee819c9ae8d3abbbc18f6f84e1348'
'urd', 'KOG_NT', 'KOG', 'جلال کا بادشاہ &#1778;', 6898000, 'https://player.vimeo.com/external/185553022.m3u8?s=ef239256e6490004f7681be9f4e799c3a04a00d4'
-- Uzbek
'uzb', 'KOG_OT', 'KOG', 'УЛУҒВОР ПОДШОҲ • I‑Қисм', 6435000, 'https://player.vimeo.com/external/148868274.m3u8?s=d1d267702397342049b674ef27e8f9f74b3284b8'
'uzb', 'KOG_NT', 'KOG', 'УЛУҒВОР ПОДШОҲ • II‑Қисм', 6898000, 'https://player.vimeo.com/external/148965828.m3u8?s=9a3fec42ea88bbbbe8aae3386483a7fae39cd137'
-- Wolof
'wol', 'KOG_OT', 'KOG', 'BUURU NDAM • Xaaj&nbsp;1', 6435000, 'https://player.vimeo.com/external/204249314.m3u8?s=39ecc8eb4862b0453b696d56319fdabbe8e81c42'
'wol', 'KOG_NT', 'KOG', 'BUURU NDAM • Xaaj&nbsp;2', 6898000, 'https://player.vimeo.com/external/204419670.m3u8?s=8168e1e171e6ee6e3092f815ee305fb2048f5972'
-- Zarma
'dje', 'KOG_OT', 'KOG', 'BOŊKOONI DARZANTA •&nbsp;1', 6435000, 'https://player.vimeo.com/external/183394231.m3u8?s=0bfe5e9258c8e536ebfc5a23586737c25598df9e'
'dje', 'KOG_NT', 'KOG', 'BOŊKOONI DARZANTA •&nbsp;2', 6898000, 'https://player.vimeo.com/external/183394230.m3u8?s=9b91955e93a855ec9a6de37a90ffcc35334182f0'

-- New languages not yet added, because I do not have them in text. GNG 2/19/18
-- Albanian, Tajik, Turkish
