CountryCode,VersionCode,Language Name in Country Language,Version Name in Country Language,Comment
US,WEB,English,World English Bible,
MX,amu,Amuzgo de Guerrero,,
MX,azg,Amuzgo de San Pedro,,
MX,cya,Chatino de Nopala,,
MX,ctp,Chatino de Occidental Tierras Altas,,x Highland
MX,cta,Chatino de Tataltepec,,
MX,cco,Chinantec de Comaltepec,,
MX,cnl,Chinantec de Lalana,,
MX,cle,Chinantec de Lealao,,
MX,chj,Chinantec de Ojitlán,,
MX,chz,Chinantec de Ozumacín,,
MX,cpa,Chinantec de Palantla,,
MX,chq,Chinantec de Quiotepec,,
MX,cso,Chinantec de Sochiapan,,
MX,cnt,Chinantec de Tepetotutla,,
MX,cuc,Chinantec de Usila,,
MX,ctu,Chol de Tumbalá,,
MX,chd,Chontal de Oaxaca Tierras Altas,,x Highland
MX,chf,Chontal de Tabasco,,
MX,crn,Cora de El Nayar,,
MX,cux,Cuicatec de Tepeuxila,,
MX,cut,Cuicatec de Teutila,,
MX,var,Huarijio,,
MX,hus,Huastec de Veracruz,,
MX,huv,Huave de San Mateo Del Mar,,
MX,hch,Huichol,,
MX,lac,Lacandon,,
MX,yua,Maya de Yucatán,,
MX,mfy,Mayo,,
MX,maz,Mazahua de Central,,
MX,maq,Mazatec de Chiquihuitlán,,
MX,mau,Mazatec de Huautla,,
MX,maj,Mazatec de Jalapa de Díaz,,
MX,maa,Mazatec de San Jerónimo Tecóatl,,
MX,vmy,Mazateco de Ayautla,,
MX,mco,Mixe de Coatlán,,
MX,mir,Mixe de Isthmus,,
MX,mxq,Mixe de Juquila,,
MX,mzl,Mixe de Mazatlán,,
MX,pxm,Mixe de Quezaltepec,,
MX,mxp,Mixe de Tlahuitoltepec,,
MX,mto,Mixe de Totontepec,,
MX,mib,Mixtec de Atatláhuca,,
MX,mih,Mixtec de Chayuco,,
MX,miz,Mixtec de Coatzospan,,
MX,xtd,Mixtec de Diuxi-tilantongo,,
MX,mxt,Mixtec de Jamiltepec,,
MX,xtm,Mixtec de Magdalena Peñasco,,
MX,mie,Mixtec de Ocotepec,,
MX,mil,Mixtec de Peñoles,,spa in DBL
MX,mio,Mixtec de Pinotepa Nacional,,
MX,mjc,Mixtec de San Juan Colorado,,
MX,mig,Mixtec de San Miguel el Grande,,
MX,mza,Mixtec de Santa Maria Zacatepec,,
MX,mks,Mixtec de Silacayoapan,,
MX,mit,Mixtec de Southern Puebla,,
MX,mxb,Mixtec de Tezoatlán,,
MX,mpm,Mixtec de Yosondúa,,
MX,ngu,Nahuatl de Guerrero,,
MX,azz,Nahuatl de Highland Puebla,,
MX,nch,Nahuatl de Huasteca Central,,x Central
MX,nhw,Nahuatl de Huasteca Occidental,,
MX,nhe,Nahuatl de Huasteca Oriental,,
MX,ncl,Nahuatl de Michoacán,,
MX,nhy,Nahuatl de Oaxaca Del Norte,,x Northern
MX,ncj,Nahuatl de Puebla Del Norte,,x Northern
MX,nhs,Nahuatl de Puebla Del Sudeste,,x Southeastern
MX,nhi,Nahuatl de Tenango,,
MX,nhg,Nahuatl de Tetelcingo,,
MX,SBLGNT,Nuevo Testamento Griego,SBL Nuevo Testamento Griego,
MX,NTPT,Nuevo Testamento Griego,Nuevo Testamento Patriarcal Texto,
MX,ots,Otomi de Estado de México,,
MX,ote,Otomi de Mezquital,,
MX,otm,Otomi de Oriental Tierras Altas,,x Highland
MX,otq,Otomi de Querétaro,,
MX,otn,Otomi de Tenango,,
MX,poe,Popoloca de San Juan Atzingo,,
MX,pls,Popoloca de San Marcos Tlalcoyalco,,
MX,pos,Popoluca de Sayula,,
MX,poi,Popoluca de Tierras Altas,,x Highland
MX,tsz,Purepecha,,
MX,tac,Tarahumara de Tierras Bajas,,x Lowland
MX,tee,Tepehua de Huehuetla,,
MX,tpt,Tepehua de Tlachichilco,,
MX,stp,Tepehuan de Del sudeste,,x Southeastern
MX,ntp,Tepehuan de Northern,,
MX,toj,Tojolabal,,
MX,toc,Totonac de Coyutla,,
MX,tos,Totonac de Highland,,
MX,top,Totonac de Papantla,,
MX,tku,Totonac de Upper Necaxa,,
MX,too,Totonac de Xicotepec De Juárez,,
MX,trc,Triqui de Copala,,
MX,tzb,Tzeital de Bachajón,,
MX,tzh,Tzeital de Oxchuc,,x
MX,tzhUNKNOWN,Tzeltal,,x
MX,tzc,Tzotzil de Chamula,,
MX,tzo,Tzotzil de Venustiano Carranza,,
MX,yaq,Yaqui,,
MX,zpo,Zapotec de Amatlán,,
MX,zad,Zapotec de Cajonos,,
MX,zpv,Zapotec de Chichicapan,,
MX,zpc,Zapotec de Choapan,,
MX,zca,Zapotec de Coatecas Altas,,
MX,zai,Zapotec de Isthmus,,
MX,zpl,Zapotec de Lachixío,,
MX,zam,Zapotec de Miahuatlán,,
MX,zaw,Zapotec de Mitla,,
MX,zpm,Zapotec de Mixtepec,,
MX,zac,Zapotec de Ocotlán,,
MX,zao,Zapotec de Ozolotepec,,
MX,ztq,Zapotec de Quioquitani-Quierí,,
MX,zar,Zapotec de Rincón,,
MX,zsr,Zapotec de Rincon Del Sur,,x Southern
MX,zab,Zapotec de San Juan Guelavía,,
MX,zpi,Zapotec de Santa María Quiegolani,,
MX,zas,Zapotec de Santo Domingo Albarradas,,
MX,zaa,Zapotec de Sierra de Juárez,,
MX,zat,Zapotec de Tabaa,,
MX,zpz,Zapotec de Texmelucan,,
MX,zpu,Zapotec de Yalálag,,
MX,zae,Zapotec de Yareni,,
MX,zty,Zapotec de Yatee,,
MX,zav,Zapotec de Yatzachi,,
MX,zpq,Zapotec de Zoogocho,,
MX,zpt,"Zapoteco, San Vincente Coatlán",,
MX,zoc,Zoque de Copainalá,,
MX,zos,Zoque de Francisco León,,
