SIL Code,SIL Language Name,SIL Page,Population,Comment
eng,English,,,
spa,Spanish,274,86211000,
grc,Koine Greek,541,,
hbo,"Hebrew, Ancient",445,,
amu,"Amuzgo, Guerrero",259,23000,
azg,"Amuzgo, San Pedro Amuzgos",259,4000,
cya,"Chatino, Nopala",259,11000,
cta,"Chatino, Tataltepec",260,4000,
ctp,"Chatino, Western Highland",260,12000,
cco,"Chinantec, Comaltepec",260,2000,
cnl,"Chinantec, Lalana",260,10500,
cle,"Chinantec, Lealao",260,2000,
chz,"Chinantec, Ozumacín",261,5000,
cpa,"Chinantec, Palantla",261,12000,
chq,"Chinantec, Quiotepec",261,8000,
cso,"Chinantec, Sochiapan",261,5800,
cnt,"Chinantec, Tepetotutla",261,2000,
cuc,"Chinantec, Usila",261,9000,
ctu,"Chol, Tumbalá",261,43870,
chd,"Chontal, Highland Oaxaca",261,3600,
chf,"Chontal, Tabasco",262,55000,
zoc,"Zoque, Copainalá",281,10000,
crn,"Cora, El Nayar",262,8000,
cux,"Cuicatec, Tepeuxila",262,8500,
cut,"Cuicatec, Teutila",262,10000,
var,Huarijio,262,5000,
hus,"Huastec, Veracruz",262,50000,
huv,"Huave, San Mateo Del Mar",263,12000,
hch,Huichol,263,20000,
lac,Lacandon,263,1000,
yua,Maya: Yucatán,264,700000,
mfy,Mayo,264,40000,
maz,"Mazahua, Central",264,350000,
maq,"Mazatec, Chiquihuitlán",264,2500,
mau,"Mazatec, Huautla",264,72000,
maj,"Mazatec, Jalapa de Díaz",264,15500,
maa,"Mazatec, San Jerónimo Tecóatl",265,34000,
vmy,"Mazateco, Ayautla",264,3500,
mzl,"Mixe, Mazatlán",265,19211,
mco,"Mixe, Coatlán",265,5000,
mir,"Mixe, Isthmus",265,20000,
mxq,"Mixe, Juquila",265,8000,
mxp,"Mixe, Tlahuitoltepec",265,5000,
mto,"Mixe, Totontepec",265,5200,
pxm,Mixe: Quezaltepec,265,6700,
mib,"Mixtec, Atatláhuca",266,22226,
mih,"Mixtec, Chayuco",266,30000,
miz,"Mixtec, Coatzospan",266,5000,
xtd,"Mixtec, Diuxi-tilantongo",267,8500,
mxt,"Mixtec, Jamiltepec",267,10000,
xtm,"Mixtec, Magdalena Peñasco",267,4200,
mie,"Mixtec, Ocotepec",268,8000,
mio,"Mixtec, Pinotepa Nacional",268,20000,
mjc,"Mixtec, San Juan Colorado",268,13500,
mig,"Mixtec, San Miguel el Grande",268,14453,
mks,"Mixtec, Silacayoapan",268,18717,
