Code,Language,DBL Name,Owner,Copyright Year,Scope,Filename,Comment
WEB,eng,World English Bible,EB,PUBLIC,BIBLE,WEB.db1,
milNT,spa,"New Testament in Mixtec, Peñoles",WBT,,NT,,
SBLGNT,grc,SBL Greek New Testament,SBL,,NT,,
NTPT,grc,New Testament Patriarchal Text,GRE,2014,NT,,
amu,amu,"Amuzgo, Guerrero",WBT,,NT,,
azg,azg,"Amuzgo, San Pedro Amuzgos",WBT,,NT,,
cya,cya,"Chatino, Nopala",WBT,,NT,,
cta,cta,"Chatino, Tataltepec",WBT,,NT,,
ctp,ctp,"Chatino, Western Highland",WBT,,NT,,
cco,cco,"Chinantec, Comaltepec",WBT,,NT,,
cni,cni,"Chinantec, Lalana",WBT,,NT,,
cle,cle,"Chinantec, Lealao",WBT,,NT,,
chz,chz,"Chinantec, Ozumacín",WBT,,NT,,
cpa,cpa,"Chinantec, Palantla",WBT,,NT,,
chq,chq,"Chinantec, Quiotepec",WBT,,NT,,
cso,cso,"Chinantec, Sochiapan",WBT,,NT,,
cnt,cnt,"Chinantec, Tepetotutla",WBT,,NT,,
cuc,cuc,"Chinantec, Usila",WBT,,NT,,
ctu,ctu,Chol,WBT,,NT,,
chd,chd,"Chontal, Highland Oaxaca",WBT,,NT,,
chf,chf,"Chontal, Tabasco",WBT,,NT,,
zoc,zoc,Copainalá Zoque,MEX,2015,NT,,
crn,crn,"Cora, El Nayar",WBT,,NT,,
cux,cux,"Cuicatec, Tepeuxila",WBT,,NT,,
cut,cut,"Cuicatec, Teutila",WBT,,NT,,
var,var,Huarijio,WBT,,NT,,
hus,hus,Huastec,WBT,,NT,,
huv,huv,"Huave, San Mateo Del Mar",WBT,,NT,,
hch,hch,Huichol,WBT,,NT,,
lac,lac,Lacandon,WBT,,NT,,
yua,yua,Maya: Yucatán,MEX,2012,NT,,
mfy,mfy,Mayo,WBT,,NT,,
maz,maz,"Mazahua, Central",WBT,,NT,,
maq,maq,"Mazatec, Chiquihuitlán",WBT,,NT,,
mau,mau,"Mazatec, Huautla",WBT,,NT,,
maj,maj,"Mazatec, Jalapa de Díaz",WBT,,NT,,
maa,maa,"Mazatec, San Jerónimo Tecóatl",WBT,,NT,,
vmy,vmy,"Mazateco, Ayautla",WBT,,NT,,
mzl,mzl,Mazatlán Mixe,MEX,2001,NT,,
mco,mco,"Mixe, Coatlán",WBT,,NT,,
mir,mir,"Mixe, Isthmus",WBT,,NT,,
mxq,mxq,"Mixe, Juquila",WBT,,NT,,
mxp,mxp,"Mixe, Tlahuitoltepec",WBT,,NT,,
mto,mto,"Mixe, Totontepec",WBT,,NT,,
pxm,pxm,Mixe: Quezaltepec,MEX,2012,NT,,
mib,mib,"Mixtec, Atatláhuca",WBT,,NT,,
mih,mih,"Mixtec, Chayuco",WBT,,NT,,
miz,miz,"Mixtec, Coatzospan",WBT,,NT,,
